Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
357,327,109,3,3.5,4.0,8.77,1,0.79
163,318,109,3,3.0,3.0,8.5,0,0.67
333,308,106,3,3.5,2.5,8.21,1,0.75
263,308,103,2,2.5,4.0,8.36,1,0.7
54,324,112,4,4.0,2.5,8.1,1,0.72
124,308,108,3,3.5,3.5,8.22,0,0.61
49,321,110,3,3.5,5.0,8.85,1,0.82
258,324,100,3,4.0,5.0,8.64,1,0.78
7,321,109,3,3.0,4.0,8.2,1,0.75
349,302,99,1,2.0,2.0,7.25,0,0.57
291,307,105,2,2.5,3.0,7.65,0,0.58
219,324,110,4,3.0,3.5,8.97,1,0.84
141,329,110,2,4.0,3.0,9.15,1,0.84
197,306,105,2,3.0,2.5,8.26,0,0.73
6,330,115,5,4.5,3.0,9.34,1,0.9
98,331,120,3,4.0,4.0,8.96,1,0.86
117,299,102,3,4.0,3.5,8.62,0,0.56
224,308,109,2,3.0,4.0,8.45,0,0.71
231,313,104,3,4.0,4.5,8.65,0,0.73
68,316,107,2,3.5,3.5,8.64,1,0.57
119,296,99,2,3.0,3.5,7.28,0,0.47
140,318,109,1,3.5,3.5,9.12,0,0.78
303,322,105,2,3.0,3.0,8.45,1,0.65
312,328,108,4,4.5,4.0,9.18,1,0.84
307,323,110,3,4.0,3.5,9.1,1,0.79
34,340,114,5,4.0,4.0,9.6,1,0.9
120,327,104,5,3.0,3.5,8.84,1,0.71
385,340,113,4,5.0,5.0,9.74,1,0.96
350,313,101,3,2.5,3.0,8.04,0,0.62
184,314,110,3,4.0,4.0,8.8,0,0.75
192,323,110,5,4.0,5.0,8.98,1,0.87
215,331,117,4,4.5,5.0,9.42,1,0.94
331,327,113,3,3.5,3.0,8.66,1,0.8
2,324,107,4,4.0,4.5,8.87,1,0.76
347,304,97,2,1.5,2.0,7.64,0,0.47
206,295,99,2,2.5,3.0,7.65,0,0.57
110,304,103,5,5.0,4.0,8.64,0,0.68
279,308,103,2,3.0,3.5,8.49,0,0.66
25,336,119,5,4.0,3.5,9.8,1,0.97
35,331,112,5,4.0,5.0,9.8,1,0.94
165,329,111,4,4.5,4.0,9.01,1,0.81
15,311,104,3,3.5,2.0,8.2,1,0.61
17,317,107,3,4.0,3.0,8.7,0,0.66
250,321,111,3,3.5,4.0,8.83,1,0.77
234,304,100,2,2.5,3.5,8.07,0,0.64
272,299,96,2,1.5,2.0,7.86,0,0.54
344,305,103,2,2.5,3.5,8.13,0,0.59
393,326,112,4,4.0,3.5,9.12,1,0.84
240,299,100,1,1.5,2.0,7.89,0,0.59
178,319,110,3,3.5,3.5,9.04,0,0.82
74,314,108,4,4.5,4.0,9.04,1,0.84
397,325,107,3,3.0,3.5,9.11,1,0.84
181,300,104,3,3.5,3.0,8.16,0,0.71
16,314,105,3,3.5,2.5,8.3,0,0.54
108,338,117,4,3.5,4.5,9.46,1,0.91
241,296,101,1,2.5,3.0,7.68,0,0.6
188,335,118,5,4.5,3.5,9.44,1,0.93
41,308,110,3,3.5,3.0,8.0,1,0.46
179,309,108,3,2.5,3.0,8.12,0,0.72
53,334,116,4,4.0,3.0,8.0,1,0.78
38,300,105,1,1.0,2.0,7.8,0,0.58
369,298,92,1,2.0,2.0,7.88,0,0.51
30,310,99,2,1.5,2.0,7.3,0,0.54
126,300,100,3,2.0,3.0,8.66,1,0.64
198,310,106,2,3.5,2.5,8.33,0,0.73
394,317,104,2,3.0,3.0,8.76,0,0.77
167,302,102,3,3.5,5.0,8.33,0,0.65
372,324,110,3,3.5,3.0,9.22,1,0.89
190,324,112,5,5.0,5.0,9.08,1,0.88
253,318,100,2,2.5,3.5,8.54,1,0.71
315,305,105,2,3.0,4.0,8.13,0,0.66
326,326,116,3,3.5,4.0,9.14,1,0.81
399,312,103,3,3.5,4.0,8.78,0,0.67
212,328,110,4,5.0,4.0,9.14,1,0.82
281,311,102,3,4.5,4.0,8.64,1,0.68
269,327,113,4,4.5,5.0,9.14,0,0.83
112,321,109,4,4.0,4.0,8.68,1,0.69
8,308,101,2,3.0,4.0,7.9,0,0.68
50,327,111,4,3.0,4.0,8.4,1,0.78
295,316,101,2,2.5,2.0,8.32,1,0.61
158,309,104,2,2.0,2.5,8.26,0,0.65
257,309,99,3,4.0,4.0,8.56,0,0.76
73,321,111,5,5.0,5.0,9.45,1,0.93
233,312,107,2,2.5,3.5,8.27,0,0.69
134,323,112,5,4.0,4.5,8.78,0,0.79
131,339,114,5,4.0,4.5,9.76,1,0.96
10,323,108,3,3.5,3.0,8.6,0,0.45
122,334,119,5,4.5,4.5,9.48,1,0.94
342,326,110,3,3.5,3.5,8.76,1,0.79
196,307,107,2,3.0,3.5,8.52,1,0.78
290,313,109,3,4.0,3.5,9.0,0,0.79
130,333,118,5,5.0,5.0,9.35,1,0.92
276,322,110,3,3.5,3.0,8.96,1,0.78
389,296,97,2,1.5,2.0,7.8,0,0.49
346,316,98,1,1.5,2.0,7.43,0,0.49
324,305,102,2,2.0,2.5,8.18,0,0.62
297,310,107,3,3.5,3.5,8.67,0,0.76
247,316,105,3,3.0,3.5,8.73,0,0.72
113,301,107,3,3.5,3.5,8.34,1,0.62
95,303,99,3,2.0,2.5,7.66,0,0.36
302,319,108,2,2.5,3.0,8.76,0,0.66
280,304,102,2,3.0,4.0,8.73,0,0.67
57,316,102,3,2.0,3.0,7.4,0,0.64
273,294,95,1,1.5,1.5,7.64,0,0.49
86,319,103,4,4.5,3.5,8.66,0,0.76
142,332,118,2,4.5,3.5,9.36,1,0.9
261,327,108,5,5.0,3.5,9.13,1,0.87
5,314,103,2,2.0,3.0,8.21,0,0.65
106,316,110,3,4.0,4.5,8.78,1,0.69
339,323,108,5,4.0,4.0,8.74,1,0.81
207,315,99,2,3.5,3.0,7.89,0,0.63
268,314,107,3,3.0,3.5,8.17,1,0.73
59,300,99,1,3.0,2.0,6.8,1,0.36
391,314,102,2,2.0,2.5,8.24,0,0.64
225,305,105,2,3.0,2.0,8.23,0,0.67
148,326,114,3,3.0,3.0,9.11,1,0.83
162,298,99,1,1.5,3.0,7.46,0,0.53
146,320,113,2,2.0,2.5,8.64,1,0.81
89,314,108,3,4.5,3.5,8.14,0,0.64
242,317,103,2,2.5,2.0,8.15,0,0.65
201,317,103,3,2.5,3.0,8.54,1,0.73
221,313,103,3,4.0,4.0,8.75,0,0.76
317,298,101,2,1.5,2.0,7.86,0,0.54
1,337,118,4,4.5,4.5,9.65,1,0.92
400,333,117,4,5.0,4.0,9.66,1,0.95
173,322,110,4,4.0,5.0,9.13,1,0.86
392,318,106,3,2.0,3.0,8.65,0,0.71
160,297,100,1,1.5,2.0,7.9,0,0.52
36,320,110,5,5.0,5.0,9.2,1,0.88
235,330,113,5,5.0,4.0,9.31,1,0.91
183,299,100,2,3.0,3.5,7.88,0,0.68
264,324,111,3,2.5,1.5,8.79,1,0.7
78,301,99,2,3.0,2.0,8.22,0,0.64
220,312,104,3,3.5,3.5,8.42,0,0.74
249,324,110,3,3.5,4.0,8.87,1,0.8
374,321,109,3,3.0,3.0,8.54,1,0.79
373,336,119,4,4.5,4.0,9.62,1,0.95
101,322,107,3,3.5,3.5,8.46,1,0.71
155,326,108,3,3.0,3.5,8.89,0,0.8
384,300,100,3,3.0,3.5,8.26,0,0.62
93,298,98,2,4.0,3.0,8.03,0,0.34
88,317,107,2,3.5,3.0,8.28,0,0.66
218,321,109,4,4.0,4.0,9.13,1,0.85
123,310,106,4,1.5,2.5,8.36,0,0.57
289,314,104,4,5.0,5.0,9.02,0,0.82
42,316,105,2,2.5,2.5,8.2,1,0.49
61,309,100,2,3.0,3.0,8.1,0,0.48
52,312,100,2,1.5,3.5,7.9,1,0.56
177,329,119,4,4.5,4.5,9.16,1,0.9
79,296,95,2,3.0,2.0,7.54,1,0.44
153,321,112,5,5.0,5.0,9.06,1,0.86
111,305,108,5,3.0,3.0,8.48,0,0.61
114,320,110,2,4.0,3.5,8.56,0,0.72
84,322,115,5,4.0,4.5,9.36,1,0.92
21,312,107,3,3.0,2.0,7.9,1,0.64
362,334,116,4,4.0,3.5,9.54,1,0.93
377,297,96,2,2.5,2.0,7.43,0,0.34
115,311,105,3,3.5,3.0,8.45,1,0.59
321,317,106,3,4.0,3.5,8.5,1,0.75
239,310,104,3,2.0,3.5,8.37,0,0.7
132,303,105,5,5.0,4.5,8.65,0,0.77
176,320,111,4,4.5,3.5,8.87,1,0.85
214,333,119,5,5.0,4.5,9.78,1,0.96
169,293,97,2,2.0,4.0,7.8,1,0.64
285,340,112,4,5.0,4.5,9.66,1,0.94
376,304,101,2,2.0,2.5,7.66,0,0.38
381,322,104,3,3.5,4.0,8.84,1,0.78
180,307,102,3,3.0,3.0,8.27,0,0.73
193,322,114,5,4.5,4.0,8.94,1,0.86
202,315,110,2,3.5,3.0,8.46,1,0.72
246,328,110,4,4.0,2.5,9.02,1,0.81
171,312,101,2,2.5,3.5,8.04,1,0.68
31,300,97,2,3.0,3.0,8.1,1,0.65
